 SMPL    1952.1   2029.4 ;
 LOAD AG1      ;
   0.23262476000E+00  0.23295381000E+00  0.23350552000E+00  0.23427688000E+00
   0.23504129000E+00  0.23579893000E+00  0.23677313000E+00  0.23796106000E+00
   0.23913857000E+00  0.23977064000E+00  0.24074104000E+00  0.24249894000E+00
   0.24417369000E+00  0.24578421000E+00  0.24738076000E+00  0.24967993000E+00
   0.25201673000E+00  0.25449993000E+00  0.25630862000E+00  0.25948227000E+00
   0.26226618000E+00  0.26482632000E+00  0.26741165000E+00  0.27070115000E+00
   0.27375411000E+00  0.27647476000E+00  0.27897442000E+00  0.28196975000E+00
   0.28484746000E+00  0.28766029000E+00  0.28994708000E+00  0.29290412000E+00
   0.29568943000E+00  0.29819975000E+00  0.30030044000E+00  0.30331423000E+00
   0.30580997000E+00  0.30815854000E+00  0.31067896000E+00  0.31380047000E+00
   0.31671435000E+00  0.31938796000E+00  0.32215181000E+00  0.32557267000E+00
   0.32871800000E+00  0.33140502000E+00  0.33430156000E+00  0.33757230000E+00
   0.34062333000E+00  0.34413531000E+00  0.34713580000E+00  0.35008137000E+00
   0.35275831000E+00  0.35521421000E+00  0.35758136000E+00  0.36022059000E+00
   0.36236207000E+00  0.36414967000E+00  0.36595089000E+00  0.36788428000E+00
   0.36953055000E+00  0.37077392000E+00  0.37186069000E+00  0.37305830000E+00
   0.37422028000E+00  0.37529014000E+00  0.37628356000E+00  0.37732405000E+00
   0.37838178000E+00  0.37923734000E+00  0.38010271000E+00  0.38110952000E+00
   0.38229083000E+00  0.38314697000E+00  0.38394197000E+00  0.38490661000E+00
   0.38608005000E+00  0.38680109000E+00  0.38694819000E+00  0.38731512000E+00
   0.38736813000E+00  0.38687352000E+00  0.38608640000E+00  0.38506681000E+00
   0.38436315000E+00  0.38344985000E+00  0.38248363000E+00  0.38166859000E+00
   0.38109213000E+00  0.38133943000E+00  0.38064881000E+00  0.38000762000E+00
   0.37936745000E+00  0.37863488000E+00  0.37780712000E+00  0.37694231000E+00
   0.37617280000E+00  0.37538818000E+00  0.37415765000E+00  0.37263039000E+00
   0.37096012000E+00  0.36940402000E+00  0.36806461000E+00  0.36680102000E+00
   0.36555860000E+00  0.36445232000E+00  0.36136886000E+00  0.36048542000E+00
   0.36136886000E+00  0.36048542000E+00  0.35943491000E+00  0.35846449000E+00
   0.35765598000E+00  0.35693629000E+00  0.35624399000E+00  0.35568363000E+00
   0.35521183000E+00  0.35460829000E+00  0.35388125000E+00  0.35337349000E+00
   0.35272062000E+00  0.35206089000E+00  0.35142276000E+00  0.35074381000E+00
   0.35009662000E+00  0.34959129000E+00  0.34902545000E+00  0.34830058000E+00
   0.34765965000E+00  0.34244084000E+00  0.34132055000E+00  0.34024817000E+00
   0.33917808000E+00  0.33828355000E+00  0.33917808000E+00  0.33828355000E+00
   0.33552863000E+00  0.33459819000E+00  0.33376466000E+00  0.33274186000E+00
   0.33173283000E+00  0.33087281000E+00  0.32994618000E+00  0.32903773000E+00
   0.32818053000E+00  0.32749913000E+00  0.32695982000E+00  0.32645004000E+00
   0.32585603000E+00  0.32547056000E+00  0.32509855000E+00  0.32477067000E+00
   0.32437637000E+00  0.32413109000E+00  0.32410288000E+00  0.32399747000E+00
   0.32389334000E+00  0.32391422000E+00  0.32399819000E+00  0.32403436000E+00
