SMPL 1960.1 2017.4;
LOAD XID CC D1 D2 D3 D4;
 1996.3    0.00  -99.00    0.00    1.00    0.00
 1996.4    0.00  -99.00    0.00    0.00    1.00
 1997.1    1.00    1.00    0.00    0.00    0.00
 1997.2    0.00  -99.00    1.00    0.00    0.00
 1997.3    0.00  -99.00    0.00    1.00    0.00
 1997.4    0.00  -99.00    0.00    0.00    1.00
 1998.1    1.00    1.00    0.00    0.00    0.00
 1998.2    0.00  -99.00    1.00    0.00    0.00
 1998.3    0.00  -99.00    0.00    1.00    0.00
 1998.4    0.00  -99.00    0.00    0.00    1.00
 1999.1    1.00    1.00    0.00    0.00    0.00
 1999.2    0.00  -99.00    1.00    0.00    0.00
 1999.3    0.00  -99.00    0.00    1.00    0.00
 1999.4    0.00  -99.00    0.00    0.00    1.00
 2000.1    1.00    1.00    0.00    0.00    0.00
 2000.2    0.00  -99.00    1.00    0.00    0.00
 2000.3    0.00  -99.00    0.00    1.00    0.00
 2000.4    0.00  -99.00    0.00    0.00    1.00
 2001.1    1.00    1.00    0.00    0.00    0.00
 2001.2    0.00  -99.00    1.00    0.00    0.00
 2001.3    0.00  -99.00    0.00    1.00    0.00
 2001.4    0.00  -99.00    0.00    0.00    1.00
 2002.1    1.00    1.00    0.00    0.00    0.00
 2002.2    0.00  -99.00    1.00    0.00    0.00
 2002.3    0.00  -99.00    0.00    1.00    0.00
 2002.4    0.00  -99.00    0.00    0.00    1.00
 2003.1    1.00    1.00    0.00    0.00    0.00
 2003.2    0.00  -99.00    1.00    0.00    0.00
 2003.3    0.00  -99.00    0.00    1.00    0.00
 2003.4    0.00  -99.00    0.00    0.00    1.00
 2004.1    1.00    1.00    0.00    0.00    0.00
 2004.2    0.00  -99.00    1.00    0.00    0.00
 2004.3    0.00  -99.00    0.00    1.00    0.00
 2004.4    0.00  -99.00    0.00    0.00    1.00
 2005.1    1.00    1.00    0.00    0.00    0.00
 2005.2    0.00  -99.00    1.00    0.00    0.00
 2005.3    0.00  -99.00    0.00    1.00    0.00
 2005.4    0.00  -99.00    0.00    0.00    1.00
 2006.1    1.00    1.00    0.00    0.00    0.00
 2006.2    0.00  -99.00    1.00    0.00    0.00
 2006.3    0.00  -99.00    0.00    1.00    0.00
 2006.4    0.00  -99.00    0.00    0.00    1.00
 2007.1    1.00    1.00    0.00    0.00    0.00
 2007.2    0.00  -99.00    1.00    0.00    0.00
 2007.3    0.00  -99.00    0.00    1.00    0.00
 2007.4    0.00  -99.00    0.00    0.00    1.00
 2008.1    1.00    1.00    0.00    0.00    0.00
 2008.2    0.00  -99.00    1.00    0.00    0.00
 2008.3    0.00  -99.00    0.00    1.00    0.00
 2008.4    0.00  -99.00    0.00    0.00    1.00
 2009.1    1.00    1.00    0.00    0.00    0.00
 2009.2    0.00  -99.00    1.00    0.00    0.00
 2009.3    0.00  -99.00    0.00    1.00    0.00
 2009.4    0.00  -99.00    0.00    0.00    1.00
 2010.1    1.00    1.00    0.00    0.00    0.00
 2010.2    0.00  -99.00    1.00    0.00    0.00
